component,model,family,rank,residual_fraction,residual_rms_uK,masked_corr,description
NILC,shuffled_spectrum_null_seed_271828,shuffled_null,45,0.9509482342545333,95.35265580514312,0.3093500537711045,Observed spectrum values shuffled across ell
NILC,shuffled_spectrum_null_seed_271836,shuffled_null,46,0.9526591238617426,95.52420864257459,0.30404044751147336,Observed spectrum values shuffled across ell
NILC,shuffled_spectrum_null_seed_271847,shuffled_null,47,0.9546569064317492,95.7245285621133,0.2977082313308833,Observed spectrum values shuffled across ell
NILC,shuffled_spectrum_null_seed_271839,shuffled_null,48,0.9562139307653809,95.8806531544066,0.2926686156905444,Observed spectrum values shuffled across ell
NILC,shuffled_spectrum_null_seed_271832,shuffled_null,49,0.9589392004671551,96.15391903207362,0.28361172367766024,Observed spectrum values shuffled across ell
NILC,shuffled_spectrum_null_seed_271830,shuffled_null,50,0.9611325438493539,96.37384805560163,0.2760873650743003,Observed spectrum values shuffled across ell
NILC,shuffled_spectrum_null_seed_271837,shuffled_null,51,0.961356374020122,96.39629176017277,0.2753069598300834,Observed spectrum values shuffled across ell
SEVEM,observed_self_spectrum_control,data_control,1,0.11423302049984121,11.483647355149692,0.9934539833467289,Observed self-spectrum upper control
SEVEM,planck_tilt_plus_2p0pct,planck_perturbation,2,0.18178361577743601,18.274391497290424,0.98333855667053,Planck endpoint-normalized tilt perturbation plus 2.0 percent
SEVEM,planck_tilt_plus_1p0pct,planck_perturbation,3,0.18201839615308513,18.29799356110758,0.9832951253117543,Planck endpoint-normalized tilt perturbation plus 1.0 percent
SEVEM,cptg_tilt_plus_2p0pct,cptg_perturbation,4,0.182025342204555,18.298691835610363,0.9832938394983031,CPTG endpoint-normalized tilt perturbation plus 2.0 percent
SEVEM,planck_tilt_plus_0p5pct,planck_perturbation,5,0.18214288109432522,18.310507816267542,0.9832720736737408,Planck endpoint-normalized tilt perturbation plus 0.5 percent
SEVEM,planck_ripple_minus_2p0pct,planck_perturbation,6,0.18219002652771862,18.315247264888672,0.9832633392097099,Planck sinusoidal ripple perturbation minus 2.0 percent
SEVEM,planck_ripple_minus_1p0pct,planck_perturbation,7,0.18220111986806878,18.31636245914699,0.9832612836468348,Planck sinusoidal ripple perturbation minus 1.0 percent
SEVEM,planck_ripple_minus_0p5pct,planck_perturbation,8,0.18222912850904918,18.319178119229413,0.9832560931531684,Planck sinusoidal ripple perturbation minus 0.5 percent
SEVEM,cptg_tilt_plus_1p0pct,cptg_perturbation,9,0.18224444971050618,18.32071833302941,0.9832532535159569,CPTG endpoint-normalized tilt perturbation plus 1.0 percent
SEVEM,planck2018_baseline_lcdm,benchmark,10,0.18227207240797055,18.323495194879783,0.9832481332909326,Planck 2018 baseline LCDM TT envelope
SEVEM,planck_ripple_plus_0p5pct,planck_perturbation,11,0.18232991868503406,18.329310380748975,0.9832374081331066,Planck sinusoidal ripple perturbation plus 0.5 percent
SEVEM,cptg_tilt_plus_0p5pct,cptg_perturbation,12,0.18236109480840929,18.332444462340927,0.9832316263730934,CPTG endpoint-normalized tilt perturbation plus 0.5 percent
SEVEM,planck_ripple_plus_1p0pct,planck_perturbation,13,0.18240263182206845,18.336620106256852,0.9832239215480789,Planck sinusoidal ripple perturbation plus 1.0 percent
SEVEM,planck_tilt_minus_0p5pct,planck_perturbation,14,0.18240595231511728,18.336953909661954,0.9832233055415313,Planck endpoint-normalized tilt perturbation minus 0.5 percent
SEVEM,cptg_ripple_minus_2p0pct,cptg_perturbation,15,0.18241679760985272,18.338044168324988,0.9832212934786178,CPTG sinusoidal ripple perturbation minus 2.0 percent
