component,mask_label,mask_threshold,galactic_cut_deg,galactic_cut_label,cptg_residual_fraction,planck_residual_fraction,cptg_minus_planck_residual_fraction,cptg_residual_rms_uK,planck_residual_rms_uK,cptg_minus_planck_residual_rms_uK,cptg_corr,planck_corr,observed_rms_uK,valid_sky_fraction,temperature_field,temperature_unit_inference,mask_field,mask_source_used
SMICA_noSZ,mask_ge_0.99_abs_b_gt_20deg,0.99,20.0,abs_b_gt_20deg,0.19118395024948828,0.19104140968754374,0.000142540561944543,19.032511324238754,19.018321300150266,0.014190024088488684,0.9815542252810088,0.9815819781274492,99.55077975636554,0.6446253458658854,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,mask_ge_0.99_abs_b_gt_30deg,0.99,30.0,abs_b_gt_30deg,0.19573667342432416,0.1956976872337894,3.89861905347455e-05,19.32958695118124,19.32573694726193,0.003850003919311007,0.9806564916813529,0.9806642724252506,98.75301655545127,0.49300257364908856,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,mask_ge_0.99_abs_b_gt_40deg,0.99,40.0,abs_b_gt_40deg,0.19338345313008848,0.1933901347655273,-6.681635438821054e-06,19.010093417764047,19.010750239802437,-0.0006568220383904588,0.9811232542629305,0.9811219372613026,98.30258540773917,0.35522715250651044,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
NILC,mask_ge_0.50_no_galactic_cut,0.5,-1.0,no_galactic_cut,0.1834591923499629,0.1832066940365362,0.0002524983134267189,18.403501453315705,18.378172370490333,0.025329082825372495,0.9830273265491146,0.9830744159320813,100.31386935471498,0.7862688700358073,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,mask_ge_0.50_abs_b_gt_10deg,0.5,10.0,abs_b_gt_10deg,0.186256120075949,0.18603510425827374,0.0002210158176752519,18.622670273418077,18.60057218238033,0.022098091037747736,0.9825012253092887,0.9825430982830287,99.9842059730675,0.769622802734375,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,mask_ge_0.50_abs_b_gt_20deg,0.5,20.0,abs_b_gt_20deg,0.19211133611784947,0.1919348578023769,0.00017647831547257242,19.088791249256246,19.071255804486814,0.017535444769432473,0.9813731372597351,0.9814076677713401,99.36316947765305,0.6443532307942709,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,mask_ge_0.50_abs_b_gt_30deg,0.5,30.0,abs_b_gt_30deg,0.19495226725557946,0.1948639958540028,8.827140157666169e-05,19.22725905230754,19.218553243809303,0.008705808498238099,0.9808127311020739,0.9808302723304431,98.62547034193194,0.4964599609375,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,mask_ge_0.50_abs_b_gt_40deg,0.5,40.0,abs_b_gt_40deg,0.19117390726751138,0.19114394886679406,2.9958400717317035e-05,18.774745979798244,18.771803834756234,0.002942145042009514,0.9815561813671556,0.981562015774657,98.20768036888303,0.3578033447265625,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,mask_ge_0.70_no_galactic_cut,0.7,-1.0,no_galactic_cut,0.18355089553184545,0.18330018366968034,0.0002507118621651039,18.409878304438504,18.384732282358005,0.025146022080498653,0.9830102078561839,0.9830569885142272,100.29849351099708,0.7850456237792969,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,mask_ge_0.70_abs_b_gt_10deg,0.7,10.0,abs_b_gt_10deg,0.18627111140938657,0.18605081731089076,0.0002202940984958046,18.622783569921793,18.600759278087285,0.022024291834508603,0.9824983832324162,0.9825401230371967,99.9767673527896,0.7688026428222656,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,mask_ge_0.70_abs_b_gt_20deg,0.7,20.0,abs_b_gt_20deg,0.19210845889425637,0.19193289367579625,0.00017556521846012751,19.08776528693666,19.070321246722056,0.017444040214602552,0.9813737004939932,0.9814080518954565,99.35931711077477,0.6440022786458334,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,mask_ge_0.70_abs_b_gt_30deg,0.7,30.0,abs_b_gt_30deg,0.19494892526860866,0.1948611459046361,8.777936397255659e-05,19.225583955671336,19.216927280445738,0.00865667522559832,0.9808133953696873,0.9808308385326862,98.61856857729036,0.4963213602701823,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,mask_ge_0.70_abs_b_gt_40deg,0.7,40.0,abs_b_gt_40deg,0.1911603762732202,0.191130604006844,2.9772266376182355e-05,18.773436380198575,18.770512511980673,0.002923868217902026,0.9815588166498637,0.9815646143845952,98.20778105901103,0.35778554280598956,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,mask_ge_0.80_no_galactic_cut,0.8,-1.0,no_galactic_cut,0.18360166906548644,0.1833519369205347,0.00024973214495174756,18.413908782847283,18.388862469484817,0.02504631336246632,0.9830007258981894,0.9830473372261828,100.29270908359483,0.7843360900878906,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,mask_ge_0.80_abs_b_gt_10deg,0.8,10.0,abs_b_gt_10deg,0.18625486063776142,0.18603498599079654,0.00021987464696487935,18.62091479241912,18.59893272412771,0.02198206829141114,0.9825014640644605,0.9825431206758327,99.97545690168101,0.7682940165201823,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,mask_ge_0.80_abs_b_gt_20deg,0.8,20.0,abs_b_gt_20deg,0.1921284457786123,0.19195330727703225,0.00017513850158004662,19.08961869913518,19.072217177974938,0.01740152116024163,0.9813697877572423,0.9814040594094817,99.35862761900421,0.6437759399414062,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,mask_ge_0.80_abs_b_gt_30deg,0.8,30.0,abs_b_gt_30deg,0.19493110595414523,0.1948434099650851,8.769598906013809e-05,19.223779390716167,19.21513095906186,0.008648431654307842,0.9808169370129647,0.9808343619557676,98.61832618565396,0.49622217814127606,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,mask_ge_0.80_abs_b_gt_40deg,0.8,40.0,abs_b_gt_40deg,0.19115561815479049,0.1911259563170263,2.9661837764177745e-05,18.77312210426384,18.770209057252412,0.0029130470114289153,0.9815597432901678,0.9815655193729567,98.2085814975215,0.3577728271484375,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,mask_ge_0.90_no_galactic_cut,0.9,-1.0,no_galactic_cut,0.18366277381751045,0.18341400462967872,0.0002487691878317322,18.419386591344104,18.394437736726235,0.02494885461786822,0.9829893109864715,0.9830357587116068,100.28916697972682,0.7835426330566406,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
