component,ell_min,ell_max,ell_band,smoothing_arcmin,smoothing_label,cptg_residual_fraction,planck_residual_fraction,cptg_minus_planck_residual_fraction,cptg_residual_rms_uK,planck_residual_rms_uK,cptg_minus_planck_residual_rms_uK,cptg_corr,planck_corr,observed_band_rms_uK,valid_sky_fraction,temperature_field,temperature_unit_inference,mask_field,mask_source_used
NILC,2,95,2-95,-1.0,native,0.19734989007545592,0.19678412814127805,0.0005657619341778719,11.961426561946423,11.927135588565967,0.034290973380455725,0.9803331108495631,0.9804468340123969,60.61025196098676,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,2,30,2-30,10.0,10arcmin,0.24585651254560628,0.24461937368925044,0.001237138856355846,10.529634082080092,10.47664943940672,0.052984642673370885,0.9693061856087581,0.9696191361445898,42.828371610155536,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,2,40,2-40,10.0,10arcmin,0.23731358108935388,0.23621281446659062,0.0011007666227632606,11.085437097340172,11.034017877675288,0.05141921966488461,0.9714330130835028,0.9717012619575198,46.71219003334772,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,2,64,2-64,10.0,10arcmin,0.21671997434303453,0.21587535487185314,0.0008446194711813904,11.580070199515164,11.534939367445775,0.045130832069389726,0.976233758140136,0.9764208773708054,53.43333135129338,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,2,95,2-95,10.0,10arcmin,0.19757592997365758,0.19700773710739913,0.000568192866258449,11.956191480204314,11.92180762227396,0.03438385793035437,0.98028757986337,0.9804019272379443,60.514413277965645,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,2,30,2-30,20.0,20arcmin,0.24592299491796027,0.24468563415502556,0.0012373607629347083,10.527502434860596,10.474533340006568,0.05296909485402779,0.9692893203993893,0.9696024172054875,42.808125520643415,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,2,40,2-40,20.0,20arcmin,0.23741540931794805,0.2363138016028964,0.0011016077150516612,11.08088006308681,11.029464769521297,0.05141529356551189,0.9714081313044923,0.9716767069625754,46.67296067647923,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,2,64,2-64,20.0,20arcmin,0.2170111513720144,0.21616366751327673,0.0008474838587376743,11.571517837440712,11.526328110892905,0.045189726547807396,0.9761690720493849,0.9763570897450025,53.3222268269711,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,2,95,2-95,20.0,20arcmin,0.19826014958445257,0.19768462508960685,0.0005755244948457139,11.94035552821624,11.905694164860778,0.03466136335546288,0.9801494275574928,0.9802656662005468,60.22569615347751,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,2,30,2-30,40.0,40arcmin,0.24618019703404886,0.24494199067748926,0.0012382063565596069,10.519156688592853,10.466248750284311,0.05290793830854135,0.9692240277533805,0.9695376875287093,42.729499835187646,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,2,40,2-40,40.0,40arcmin,0.23781068861023089,0.23670579898177443,0.0011048896284564513,11.06298157709701,11.011581979897352,0.05139959719965859,0.9713114372125331,0.9715812873692045,46.52011918282242,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,2,64,2-64,40.0,40arcmin,0.21814037224572114,0.21728166007623217,0.0008587121694889621,11.537951776839547,11.492532492459723,0.045419284379823566,0.9759173487328137,0.9761088948432182,52.89232643209568,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,2,95,2-95,40.0,40arcmin,0.2008811348176165,0.20027693451462694,0.0006042003029895493,11.878928836145326,11.843199983814285,0.03572885233104017,0.9796156167953995,0.9797393207249475,59.13411852701058,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,2,30,2-30,60.0,60arcmin,0.24660314198608646,0.24536355948538935,0.0012395825006971117,10.505385498275647,10.45257882305707,0.052806675218576515,0.9691165020298932,0.9694310851122776,42.600371648421124,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,2,40,2-40,60.0,60arcmin,0.23845785712942658,0.23734762337395993,0.0011102337554666497,11.033672189635856,10.98230061623017,0.05137157340568699,0.9711527571709309,0.9714246932571667,46.27095253836474,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,2,64,2-64,60.0,60arcmin,0.21994803089322834,0.21907117060887996,0.0008768602843483853,11.483568883861114,11.437787680747162,0.045781203113952174,0.9755115329035984,0.9757088245106809,52.210373683389335,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,2,95,2-95,60.0,60arcmin,0.20492705421548826,0.20427714336097558,0.0006499108545126864,11.782210577360374,11.744844176063605,0.037366401296768714,0.9787772415016194,0.9789130884913633,57.49465643990056,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,2,30,2-30,120.0,120arcmin,0.24879079431586296,0.24754442831760948,0.0012463659982534792,10.433198947385515,10.38093180278801,0.052267144597504256,0.9685571937800079,0.9688764905797066,41.9356310030491,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,2,40,2-40,120.0,120arcmin,0.24174590082154238,0.24060926935114973,0.0011366314703926406,10.88488027378054,10.833702167229033,0.05117810655150734,0.9703394890466782,0.9706219582840313,45.02612138112652,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,2,64,2-64,120.0,120arcmin,0.22834766530016795,0.22738443751351242,0.0009632277866555294,11.219444666555166,11.172118231929858,0.04732643462530817,0.9735795755467862,0.9738049933336816,49.13317003616815,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
NILC,2,95,2-95,120.0,120arcmin,0.22119854072253098,0.2203505069003373,0.0008480338221936723,11.361582484133601,11.318024302471478,0.043558181662122664,0.975228782179237,0.9754207432341986,51.36373163684405,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits
SEVEM,2,30,2-30,-1.0,native,0.24828597671003066,0.24707741906040845,0.0012085576496222161,10.607796006156416,10.55616146288197,0.05163454327444583,0.9686865426467154,0.9689955095630113,42.72410446501011,0.8378740946451823,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-sevem_2048_R3.00_full.fits
SEVEM,2,40,2-40,-1.0,native,0.2386911227696231,0.2376121144944506,0.0010790082751724883,11.131553198064221,11.081232776102711,0.05032042196151032,0.9710953742003317,0.9713599558523498,46.63580726798975,0.8378740946451823,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-sevem_2048_R3.00_full.fits
SEVEM,2,64,2-64,-1.0,native,0.21816797945082458,0.2173352327912033,0.0008327466596212973,11.607776408274605,11.563469553281704,0.04430685499290021,0.9759112229847541,0.976097013173849,53.20568324230649,0.8378740946451823,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-sevem_2048_R3.00_full.fits
SEVEM,2,95,2-95,-1.0,native,0.19878609661331628,0.19823472645483256,0.0005513701584837216,12.001059492405286,11.9677723250076,0.033287167397686446,0.9800428864251945,0.9801545617018675,60.37172466719365,0.8378740946451823,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-sevem_2048_R3.00_full.fits
SEVEM,2,30,2-30,10.0,10arcmin,0.24830692364354653,0.24709830547717562,0.0012086181663709117,10.607173597698187,10.555543854492027,0.05162974320615987,0.9686811734666995,0.9689901836526599,42.71799369124787,0.8378740946451823,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-sevem_2048_R3.00_full.fits
SEVEM,2,40,2-40,10.0,10arcmin,0.2387240598215493,0.23764478974233755,0.0010792700792117416,11.130143941508214,11.079824625799654,0.05031931570855974,0.9710872777724757,0.9713519622692902,46.623469581692795,0.8378740946451823,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-sevem_2048_R3.00_full.fits
SEVEM,2,64,2-64,10.0,10arcmin,0.21826279009954427,0.2174291246563215,0.0008336654432227752,11.605055742265147,11.56072966206344,0.044326080201706475,0.9758900229745138,0.9760761027542766,53.170106260312934,0.8378740946451823,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-sevem_2048_R3.00_full.fits
SEVEM,2,95,2-95,10.0,10arcmin,0.19901138311717184,0.19845757252265178,0.00055381059452006,11.995776893384422,11.962394941915123,0.03338195146929834,0.9799971636587896,0.9801094650379173,60.27683796520159,0.8378740946451823,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-sevem_2048_R3.00_full.fits
SEVEM,2,30,2-30,20.0,20arcmin,0.24837579904046309,0.2471669758336517,0.001208823206811399,10.605080027861153,10.553466034479769,0.05161399338138395,0.9686635154045586,0.96897266943584,42.697718814921544,0.8378740946451823,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-sevem_2048_R3.00_full.fits
SEVEM,2,40,2-40,20.0,20arcmin,0.23883005267072555,0.23774996071925544,0.0010800919514701024,11.125644986168142,11.07533004686257,0.05031493930557218,0.9710612148811909,0.9713262254243741,46.58394059606495,0.8378740946451823,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-sevem_2048_R3.00_full.fits
SEVEM,2,64,2-64,20.0,20arcmin,0.21855632728035382,0.21771985361982193,0.0008364736605318834,11.596603177147072,11.552219867681586,0.044383309465485965,0.9758243255405068,0.9760112950085366,53.06002036844027,0.8378740946451823,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-sevem_2048_R3.00_full.fits
