scope,n_components,mean_gap_residual_fraction,std_gap_residual_fraction,min_gap_residual_fraction,max_gap_residual_fraction,span_gap_residual_fraction,mean_gap_rms_uK,std_gap_rms_uK,min_gap_rms_uK,max_gap_rms_uK,span_gap_rms_uK,planck_ahead_all_components
smoothing_40arcmin_band_2-30,5,0.0011998423137550619,2.646580827148844e-05,0.0011703043356847964,0.0012382063565596069,6.790202087481045e-05,0.05147275461628879,0.0009205559872709709,0.050371982328515585,0.05290793830854135,0.0025359559800257614,True
smoothing_40arcmin_band_2-40,5,0.0010706941737362696,2.4672435466379272e-05,0.001041163215441565,0.0011048896284564513,6.372641301488624e-05,0.05002872363523174,0.0009253045131911974,0.04887208320418779,0.05139959719965859,0.002527513995470798,True
smoothing_40arcmin_band_2-64,5,0.0008332488181416742,2.0412383756471347e-05,0.0008061099532351845,0.0008587121694889621,5.260221625377759e-05,0.044176787867058566,0.0009092044063484306,0.04296444952891143,0.045419284379823566,0.0024548348509121354,True
smoothing_40arcmin_band_2-95,5,0.0005851039754729226,1.3939014242971521e-05,0.000565892969149745,0.0006042003029895493,3.8307333839804336e-05,0.03466395309463124,0.0007380820774580967,0.03368345702744868,0.03572885233104017,0.0020453953035914907,True
smoothing_60arcmin_band_2-30,5,0.001201013806629575,2.6604964307012874e-05,0.0011713181712762477,0.0012395825006971117,6.826432942086402e-05,0.05136875998735739,0.0009224757355969101,0.05026558067467235,0.052806675218576515,0.0025410945439041654,True
smoothing_60arcmin_band_2-40,5,0.0010758044958680767,2.483396606049846e-05,0.0010460593127226692,0.0011102337554666497,6.417444274398054e-05,0.049999085161440956,0.0009262442318542179,0.048840360682957495,0.05137157340568699,0.0025312127227294923,True
smoothing_60arcmin_band_2-64,5,0.000850950031842257,2.0683682414086297e-05,0.000823445667326228,0.0008768602843483853,5.341461702215722e-05,0.04453832220345326,0.0009061905412195285,0.04332910141509494,0.045781203113952174,0.002452101698857234,True
smoothing_60arcmin_band_2-95,5,0.0006294619277911251,1.5080245739404816e-05,0.0006086928782433887,0.0006499108545126864,4.1217976269297685e-05,0.036267049044498734,0.0007678312092075031,0.0352401894882064,0.037366401296768714,0.002126211808562317,True
smoothing_120arcmin_band_2-30,5,0.0012067476491559926,2.7313145999766683e-05,0.001176264916090436,0.0012463659982534792,7.010108216304323e-05,0.05081506747923612,0.0009320105955311326,0.049700966884881126,0.052267144597504256,0.00256617771262313,True
smoothing_120arcmin_band_2-40,5,0.0011009235449369104,2.5690694482052354e-05,0.0010700855029302236,0.0011366314703926406,6.654596746241692e-05,0.049795488364897264,0.000931314556063814,0.04862780470167394,0.05117810655150734,0.002550301849833403,True
smoothing_120arcmin_band_2-64,5,0.0009348640347946469,2.2157627264840995e-05,0.0009055327256988766,0.0009632277866555294,5.769506095665289e-05,0.046068520558145566,0.0008984476878573274,0.044873124340664816,0.04732643462530817,0.0024533102846433508,True
smoothing_120arcmin_band_2-95,5,0.0008213566681926354,1.9977018517555397e-05,0.0007943150512359498,0.0008480338221936723,5.3718770957722484e-05,0.04232112954854337,0.0008712556300248035,0.04115567721453495,0.043558181662122664,0.0024025044475877166,True
