component,ell_min,ell_max,ell_band,mask_label,mask_threshold,galactic_cut_deg,galactic_cut_label,cptg_residual_fraction,planck_residual_fraction,cptg_minus_planck_residual_fraction,cptg_residual_rms_uK,planck_residual_rms_uK,cptg_minus_planck_residual_rms_uK,cptg_corr,planck_corr,observed_band_rms_uK,valid_sky_fraction,temperature_field,temperature_unit_inference,mask_field,mask_source_used
SMICA_noSZ,2,95,2-95,mask_ge_0.80_abs_b_gt_20deg,0.8,20.0,abs_b_gt_20deg,0.2132176399312766,0.21269577185654037,0.0005218680747362259,12.626278981230785,12.595375103366171,0.03090387786461335,0.9770047076777046,0.9771184521992489,59.21779729529148,0.6456820170084635,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,30,2-30,mask_ge_0.80_abs_b_gt_30deg,0.8,30.0,abs_b_gt_30deg,0.25940285700077953,0.258068549538289,0.001334307462490525,10.085397997545293,10.033521075425382,0.05187692211991113,0.9657680005328613,0.9661254166459831,38.879286504986275,0.49364598592122394,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,40,2-40,mask_ge_0.80_abs_b_gt_30deg,0.8,30.0,abs_b_gt_30deg,0.2529234283433794,0.2517691340484802,0.0011542942948991608,10.860078090825263,10.810514765416833,0.04956332540843,0.9674859431849248,0.967786970506255,42.93820529777562,0.49364598592122394,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,64,2-64,mask_ge_0.80_abs_b_gt_30deg,0.8,30.0,abs_b_gt_30deg,0.2370634295950171,0.2363017439475792,0.0007616856474379208,11.956546680474574,11.918130253212903,0.03841642726167116,0.9714940648656718,0.9716796153515974,50.4360655749405,0.49364598592122394,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,95,2-95,mask_ge_0.80_abs_b_gt_30deg,0.8,30.0,abs_b_gt_30deg,0.21747431174767798,0.21705968039198512,0.0004146313556928627,12.593969097259793,12.569957735005618,0.024011362254174884,0.9760660102640717,0.9761583007215584,57.910145782513375,0.49364598592122394,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,30,2-30,mask_ge_0.80_abs_b_gt_40deg,0.8,40.0,abs_b_gt_40deg,0.23413414084139064,0.23293556241678562,0.0011985784246050235,8.947688073973788,8.901883110045757,0.04580496392803113,0.972201678233012,0.9724895757384088,38.216075800902594,0.35552088419596356,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,40,2-40,mask_ge_0.80_abs_b_gt_40deg,0.8,40.0,abs_b_gt_40deg,0.2300818017198618,0.22907122711408162,0.00101057460578019,9.682062162652485,9.639536217184295,0.04252594546819033,0.9731703660769905,0.9734087453922445,42.08095594818476,0.35552088419596356,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,64,2-64,mask_ge_0.80_abs_b_gt_40deg,0.8,40.0,abs_b_gt_40deg,0.22082246555188348,0.22025830312706937,0.0005641624248141075,11.01844462798887,10.990294446695176,0.028150181293694843,0.9753137059297555,0.9754412690174558,49.89729917402822,0.35552088419596356,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,95,2-95,mask_ge_0.80_abs_b_gt_40deg,0.8,40.0,abs_b_gt_40deg,0.20311863554909024,0.2028958029859576,0.00022283256313263,11.666076432589051,11.653278090840903,0.01279834174814809,0.9791540858058824,0.9792002845175202,57.43479125414647,0.35552088419596356,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA_noSZ,2,30,2-30,mask_ge_0.90_no_galactic_cut,0.9,-1.0,no_galactic_cut,0.23817256423691624,0.23700402968356132,0.0011685345533549163,10.286940633310278,10.236470313116822,0.05047032019345643,0.9712218748047071,0.9715076988689721,43.19112348758021,0.8384526570638021,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
