masked_corr,observed_rms_uK,fit_rms_uK,residual_rms_uK,residual_fraction,amp_uK_per_template_sigma,offset_uK,valid_pixels,valid_sky_fraction,component,model,family,description,path,available_fields,temperature_field,temperature_unit_inference,temperature_scale_applied,raw_temperature_robust_std,mask_field,mask_source_used,nside,mask_threshold,rank
0.9837123207432352,100.82086786492997,99.17872990675735,18.122553107113475,0.1797500209122611,99.17872990675735,4.017624393159508e-15,692358,0.8803787231445312,COMMANDER,planck_ripple_plus_2p0pct,planck_perturbation,Planck sinusoidal ripple perturbation plus 2.0 percent,COM_CMB_IQU-commander_2048_R3.00_full.fits,I_STOKES|Q_STOKES|U_STOKES|TMASK|PMASK|I_STOKES_INP|Q_STOKES_INP|U_STOKES_INP,I_STOKES,K_CMB_to_uK,1000000.0,0.00011106410047772622,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,256,0.99,21
0.9837029174145563,100.82086786492997,99.1777818549976,18.127740713058525,0.17980147460488355,99.1777818549976,1.277830876496344e-14,692358,0.8803787231445312,COMMANDER,cptg_ripple_plus_1p0pct,cptg_perturbation,CPTG sinusoidal ripple perturbation plus 1.0 percent,COM_CMB_IQU-commander_2048_R3.00_full.fits,I_STOKES|Q_STOKES|U_STOKES|TMASK|PMASK|I_STOKES_INP|Q_STOKES_INP|U_STOKES_INP,I_STOKES,K_CMB_to_uK,1000000.0,0.00011106410047772622,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,256,0.99,22
0.9837027044253861,100.82086786492997,99.17776038124559,18.127858196648518,0.17980263987545184,99.1777603812456,-2.034480556125143e-15,692358,0.8803787231445312,COMMANDER,cptg_tilt_minus_0p5pct,cptg_perturbation,CPTG endpoint-normalized tilt perturbation minus 0.5 percent,COM_CMB_IQU-commander_2048_R3.00_full.fits,I_STOKES|Q_STOKES|U_STOKES|TMASK|PMASK|I_STOKES_INP|Q_STOKES_INP|U_STOKES_INP,I_STOKES,K_CMB_to_uK,1000000.0,0.00011106410047772622,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,256,0.99,23
0.9836831242280297,100.82086786492997,99.1757862887553,18.138655160863784,0.17990973044552838,99.1757862887553,-1.2176287374723168e-15,692358,0.8803787231445312,COMMANDER,cptg_tilt_minus_1p0pct,cptg_perturbation,CPTG endpoint-normalized tilt perturbation minus 1.0 percent,COM_CMB_IQU-commander_2048_R3.00_full.fits,I_STOKES|Q_STOKES|U_STOKES|TMASK|PMASK|I_STOKES_INP|Q_STOKES_INP|U_STOKES_INP,I_STOKES,K_CMB_to_uK,1000000.0,0.00011106410047772622,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,256,0.99,24
0.9836775761687913,100.82086786492997,99.17522692860845,18.141713278979967,0.17994006263945753,99.17522692860845,-4.511654540005576e-15,692358,0.8803787231445312,COMMANDER,planck_tilt_minus_2p0pct,planck_perturbation,Planck endpoint-normalized tilt perturbation minus 2.0 percent,COM_CMB_IQU-commander_2048_R3.00_full.fits,I_STOKES|Q_STOKES|U_STOKES|TMASK|PMASK|I_STOKES_INP|Q_STOKES_INP|U_STOKES_INP,I_STOKES,K_CMB_to_uK,1000000.0,0.00011106410047772622,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,256,0.99,25
0.9836733165348812,100.82086786492997,99.1747974686219,18.14406084909692,0.17996334720511012,99.1747974686219,-8.002173999209964e-15,692358,0.8803787231445312,COMMANDER,cptg_ripple_plus_2p0pct,cptg_perturbation,CPTG sinusoidal ripple perturbation plus 2.0 percent,COM_CMB_IQU-commander_2048_R3.00_full.fits,I_STOKES|Q_STOKES|U_STOKES|TMASK|PMASK|I_STOKES_INP|Q_STOKES_INP|U_STOKES_INP,I_STOKES,K_CMB_to_uK,1000000.0,0.00011106410047772622,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,256,0.99,26
0.983641268747457,100.82086786492997,99.17156638287913,18.161712975482356,0.18013843126021947,99.17156638287913,2.2508685861158324e-15,692358,0.8803787231445312,COMMANDER,cptg_tilt_minus_2p0pct,cptg_perturbation,CPTG endpoint-normalized tilt perturbation minus 2.0 percent,COM_CMB_IQU-commander_2048_R3.00_full.fits,I_STOKES|Q_STOKES|U_STOKES|TMASK|PMASK|I_STOKES_INP|Q_STOKES_INP|U_STOKES_INP,I_STOKES,K_CMB_to_uK,1000000.0,0.00011106410047772622,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,256,0.99,27
0.9803486774783176,100.82086786492997,98.83960447359956,19.88919265681536,0.19727257935788625,98.83960447359956,7.134408465132755e-15,692358,0.8803787231445312,COMMANDER,observed_smoothed_spectrum_control,data_control,Observed spectrum smoothed with width=31,COM_CMB_IQU-commander_2048_R3.00_full.fits,I_STOKES|Q_STOKES|U_STOKES|TMASK|PMASK|I_STOKES_INP|Q_STOKES_INP|U_STOKES_INP,I_STOKES,K_CMB_to_uK,1000000.0,0.00011106410047772622,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,256,0.99,28
0.92133535699265,100.82086786492997,92.88983028664424,39.196005234668156,0.38876877440867863,92.88983028664425,4.396745850829384e-15,692358,0.8803787231445312,COMMANDER,flat_dl_null,bad_null,Flat D_l null matched to mean observed D_l,COM_CMB_IQU-commander_2048_R3.00_full.fits,I_STOKES|Q_STOKES|U_STOKES|TMASK|PMASK|I_STOKES_INP|Q_STOKES_INP|U_STOKES_INP,I_STOKES,K_CMB_to_uK,1000000.0,0.00011106410047772622,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,256,0.99,29
0.8333390005316395,100.82086786492997,84.01796125929393,55.729970239266855,0.5527622546745825,84.01796125929393,5.983892181877992e-15,692358,0.8803787231445312,COMMANDER,powerlaw_dl_null,smooth_null,Fitted smooth power-law D_l null,COM_CMB_IQU-commander_2048_R3.00_full.fits,I_STOKES|Q_STOKES|U_STOKES|TMASK|PMASK|I_STOKES_INP|Q_STOKES_INP|U_STOKES_INP,I_STOKES,K_CMB_to_uK,1000000.0,0.00011106410047772622,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,256,0.99,30
