component,ell_min,ell_max,ell_band,cptg_residual_fraction,planck_residual_fraction,cptg_minus_planck_residual_fraction,cptg_residual_rms_uK,planck_residual_rms_uK,cptg_minus_planck_residual_rms_uK,cptg_corr,planck_corr,observed_band_rms_uK,valid_sky_fraction,temperature_field,temperature_unit_inference,mask_field,mask_source_used,run,family,component_or_band
SMICA_noSZ,2,95,2-95,0.2036260575305722,0.2030854185880453,0.0005406389425268,12.726049293375896,12.692260897548987,0.0337883958269085,0.9790487346941102,0.9791610230133708,62.497155068010976,0.9830919901529948,I_STOKES_INP,uK_native_or_already_scaled,TMASKINP,COM_CMB_IQU-smica_2048_R3.00_full.fits,Planck low-ell bands inpainted,Planck low-ell bands,SMICA_noSZ ell=2-95
NILC,2,30,2-30,0.2458050261559188,0.244568343351731,0.0012366828041877,10.52822168825788,10.475252589439346,0.0529690988185347,0.9693192413357048,0.9696320069572082,42.83159646043865,0.7820383707682291,I_STOKES_INP,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits,Planck low-ell bands inpainted,Planck low-ell bands,NILC ell=2-30
NILC,2,40,2-40,0.2372314884307528,0.2361312003295189,0.0011002881012339,11.083212280595037,11.031807946893574,0.0514043337014609,0.9714530617690212,0.971721095852456,46.718976278860175,0.7820383707682291,I_STOKES_INP,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits,Planck low-ell bands inpainted,Planck low-ell bands,NILC ell=2-40
NILC,2,64,2-64,0.2165787718940148,0.215735016467933,0.0008437554260818,11.578550854457555,11.53344271655384,0.0451081379037177,0.9762650931947148,0.9764518933870092,53.46115297081676,0.7820383707682291,I_STOKES_INP,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits,Planck low-ell bands inpainted,Planck low-ell bands,NILC ell=2-64
NILC,2,95,2-95,0.1973440933638953,0.1967793634103077,0.0005647299535876,11.96071712473822,11.926489724710224,0.034227400027996,0.980334277527083,0.9804477900892948,60.60843737888364,0.7820383707682291,I_STOKES_INP,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits,Planck low-ell bands inpainted,Planck low-ell bands,NILC ell=2-95
SEVEM,2,30,2-30,0.2611128250610824,0.2599503471793302,0.0011624778817522,11.397580458723166,11.346838274053924,0.0507421846692413,0.9653080703649796,0.9656217680192004,43.65002161826757,0.9608548482259116,I_STOKES_INP,K_CMB_to_uK,TMASKINP,COM_CMB_IQU-sevem_2048_R3.00_full.fits,Planck low-ell bands inpainted,Planck low-ell bands,SEVEM ell=2-30
SEVEM,2,40,2-40,0.2501543603098138,0.2490970860807672,0.0010572742290465,11.803761441176968,11.753872993251798,0.04988844792517,0.9682057935072956,0.968478346229534,47.18591123719818,0.9608548482259116,I_STOKES_INP,K_CMB_to_uK,TMASKINP,COM_CMB_IQU-sevem_2048_R3.00_full.fits,Planck low-ell bands inpainted,Planck low-ell bands,SEVEM ell=2-40
SEVEM,2,64,2-64,0.2276886640777941,0.2268377888815884,0.0008508751962057,12.146111614956087,12.100721454030108,0.0453901609259812,0.9737338718771458,0.97393244127071,53.34526276989415,0.9608548482259116,I_STOKES_INP,K_CMB_to_uK,TMASKINP,COM_CMB_IQU-sevem_2048_R3.00_full.fits,Planck low-ell bands inpainted,Planck low-ell bands,SEVEM ell=2-64
SEVEM,2,95,2-95,0.2065759447226297,0.2059517605494886,0.0006241841731411,12.409548023402772,12.37205167559498,0.0374963478077923,0.9784305070136244,0.9785620833936616,60.072570598987774,0.9608548482259116,I_STOKES_INP,K_CMB_to_uK,TMASKINP,COM_CMB_IQU-sevem_2048_R3.00_full.fits,Planck low-ell bands inpainted,Planck low-ell bands,SEVEM ell=2-95
COMMANDER,2,30,2-30,0.2362331243403947,0.2350531458143953,0.0011799785259993,10.255983755400788,10.20475537399508,0.051228381405707,0.971696185111472,0.9719822982808856,43.41467262068913,0.8803787231445312,I_STOKES_INP,K_CMB_to_uK,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,Planck low-ell bands inpainted,Planck low-ell bands,COMMANDER ell=2-30
COMMANDER,2,40,2-40,0.228178156803899,0.2271269013629,0.0010512554409989,10.786982025245472,10.737284570831624,0.0496974544138471,0.9736192684732958,0.9738650441152372,47.27438496453464,0.8803787231445312,I_STOKES_INP,K_CMB_to_uK,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,Planck low-ell bands inpainted,Planck low-ell bands,COMMANDER ell=2-40
COMMANDER,2,64,2-64,0.2088739009203052,0.2080627135772471,0.0008111873430581,11.241807926432326,11.198148990285526,0.0436589361467998,0.9779425484187724,0.97811545444296,53.82102731313272,0.8803787231445312,I_STOKES_INP,K_CMB_to_uK,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,Planck low-ell bands inpainted,Planck low-ell bands,COMMANDER ell=2-64
COMMANDER,2,95,2-95,0.1904365248903714,0.1898894236031509,0.0005471012872205,11.591211604603812,11.557911444390454,0.0333001602133578,0.981699489732917,0.9818054619923156,60.86653603491516,0.8803787231445312,I_STOKES_INP,K_CMB_to_uK,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,Planck low-ell bands inpainted,Planck low-ell bands,COMMANDER ell=2-95
WMAP_ILC,2,30,2-30,0.2463909411784202,0.245517487526538,0.0008734536518821,11.55104209711168,11.510093757637376,0.0409483394743031,0.9691705237496252,0.9693921617790026,46.8809528542982,1.0,,,,,WMAP low-ell bands,WMAP low-ell bands,WMAP ILC ell=2-30
WMAP_ILC,2,40,2-40,0.2354762838379256,0.2346752313311239,0.0008010525068016,11.869220487331152,11.828843305093546,0.0403771822376057,0.9718800953563228,0.972073832483736,50.40516307578787,1.0,,,,,WMAP low-ell bands,WMAP low-ell bands,WMAP ILC ell=2-40
WMAP_ILC,2,64,2-64,0.2141727194326077,0.2134730830089541,0.0006996364236535,12.011607322709558,11.972369094741705,0.0392382279678535,0.9767958058111276,0.976948945866684,56.08374098499117,1.0,,,,,WMAP low-ell bands,WMAP low-ell bands,WMAP ILC ell=2-64
WMAP_ILC,2,95,2-95,0.199645595164532,0.1989097821129993,0.0007358130515327,12.23773758559022,12.192634226163287,0.0451033594269336,0.9798681729350154,0.9800178052358884,61.29730824015851,1.0,,,,,WMAP low-ell bands,WMAP low-ell bands,WMAP ILC ell=2-95
